Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
698,检查,jiǎnchá,inspection; to examine; to inspect,动 v.,动 v.,verb,3,3,他发烧了，应该马上去医院检查。,Tā fāshāo le; yīnggāi mǎshàng qù yīyuàn jiǎnchá.,He has a fever and should go to the hospital for a checkup right away.,你检查这个了吗？,Nǐ jiǎnchá zhège le ma?,Did you check this?,我到医院去检查了眼睛。,Wǒ dào yīyuàn qù jiǎnchá le yǎnjīng.,I went to the hospital to have my eyes tested.
699,简单,jiǎndān,simple; not complicated,形 adj.,形 adj.,adjective,3,3,这个问题很简单。,Zhège wèntí hěn jiǎndān.,This question is very simple.,老师用简单的话解释了语法。,Lǎoshī yòng jiǎndān dehuà jiěshì le yǔfǎ.,The teacher explained the grammar in simple words.,做这个菜其实很简单。,Zuò zhège cài qíshí hěn jiǎndān.,Making this dish is actually very simple.
700,检票,jiǎnpiào,to check tickets,动 v.,动 v.,verb,3,3,上车以前要先检票。,Shàngchē yǐqián yào xiān jiǎnpiào.,You need to have your ticket checked before boarding.,工作人员正在门口检票。,Gōngzuòrényuán zhèngzài ménkǒu jiǎnpiào.,The staff are checking tickets at the entrance.,请准备好车票，马上开始检票。,Qǐng zhǔnbèi hǎo chēpiào; mǎshàng kāishǐ jiǎnpiào.,Please have your ticket ready; ticket inspection will begin shortly.
701,健康,jiànkāng,health; healthy,形 adj.,形 adj.,adjective,3,3,每天锻炼对健康有帮助。,Měitiān duànliàn duì jiànkāng yǒu bāngzhù.,Daily exercise is beneficial to health.,她的身体一直很健康。,Tā de shēntǐ yìzhí hěn jiànkāng.,She has always been in good health.,健康比什么都重要。,Jiànkāng bǐ shénme dōu zhòngyào.,Health is more important than anything else.
702,见面,jiànmiàn,to meet; to see each other,动 v.,动 v.,verb,3,3,我们在学校前面见面了。,Wǒmen zài xuéxiào qiánmiàn jiànmiàn le.,We met in front of the school.,我不认为我会再跟他见面。,Wǒ bù rènwéi wǒhuì zài gēn tā jiànmiàn.,I don't think I'll ever meet him.,我明天要跟他见面。,Wǒ míngtiān yào gēn tā jiànmiàn.,I'm going to meet him tomorrow.
703,讲,jiǎng,to speak; to explain; to negotiate,动 v.,动 v.,verb,3,3,老师正在讲新的语法。,Lǎoshī zhèngzài jiǎng xīn de yǔfǎ.,The teacher is explaining new grammar.,请再讲一遍，我没听清楚。,Qǐng zài jiǎng yíbiàn; wǒ méi tīng qīngchu.,Please explain it once more; I did not hear clearly.,他会讲中文和英语。,Tā huì jiǎng zhōngwén hé yīngyǔ.,He can speak Chinese and English.
704,角,jiǎo,angle,量 m.w.,量 m.w.,measure word,3,3,这本书卖五角钱。,Zhè běnshū mài wǔjiǎoqián.,This book costs five jiao.,桌子的这个角坏了。,Zhuōzi de zhège jiǎo huài le.,This corner of the table is damaged.,请站在房间右边的墙角。,Qǐng zhàn zài fángjiān yòubiān de qiángjiǎo.,Please stand in the corner on the right side of the room.
705,脚,jiǎo,foot; leg,名 n.,名 n.,noun,3,3,孩子们洗了他们的脚。,Háizi men xǐ le tāmen de jiǎo.,The children washed their feet.,他故意踩我的脚。,Tā gùyì cǎi wǒ de jiǎo.,He stepped on my foot on purpose.,这些鞋不合我的脚。,Zhèxiē xié bùhé wǒ de jiǎo.,These shoes don't fit my feet.
706,接,jiē,to receive; to pick up,动 v.,动 v.,verb,3,3,我去机场接朋友。,Wǒ qù jīchǎng jiē péngyǒu.,I am going to the airport to pick up a friend.,请接一下电话。,Qǐng jiē yíxià diànhuà.,Please answer the phone.,他伸手接住了球。,Tā shēnshǒu jiē zhù le qiú.,He reached out and caught the ball.
707,街,jiē,street,名 n.,名 n.,noun,3,3,这条街上有很多小店。,Zhè tiáo jiēshàng yǒu hěnduō xiǎodiàn.,There are many small shops on this street.,他住在学校后面的那条街。,Tā zhù zài xuéxiào hòumiàn de nàtiáo jiē.,He lives on the street behind the school.,周末这条街上游客很多。,Zhōumò zhè tiáo jiēshàng yóukè hěnduō.,There are many tourists on this street on weekends.
708,节,jié,festival; holiday; measure word for sections,量 m.w.; 名 n.; （动 v.）,量 m.w.,measure word; noun; verb,3,3（4）,春节是中国最重要的节日之一。,Chūnjié shì zhōngguó zuì zhòngyào de jiérì zhīyī.,The Spring Festival is one of China’s most important holidays.,我们上午有两节中文课。,Wǒmen shàngwǔ yǒu liǎngjié zhōngwén kè.,We have two Chinese class periods in the morning.,请把这篇课文分成三节来读。,Qǐng bǎ zhè piān kèwén fēnchéng sānjié lái dú.,Please divide this text into three sections to read.
709,结婚,jiéhūn,to marry; to get married,动 v.,动 v.,verb,3,3,她结婚以后搬家了。,Tā jiéhūn yǐhòu bānjiā le.,She moved after getting married.,我想跟你这样的人结婚。,Wǒ xiǎng gēn nǐ zhèyàng de rén jiéhūn.,I'd like to get married to someone like you.,那个时候我还没有结婚。,Nàge shíhòu wǒ hái méiyǒu jiéhūn.,I wasn't yet married at that time.
710,节目,jiémù,program; item,名 n.,名 n.,noun,3,3,这个电视节目很有意思。,Zhège diànshìjiémù hěn yǒuyìsi.,This television program is very interesting.,晚会的第一个节目是唱歌。,Wǎnhuì de dìyígè jiémù shì chànggē.,The first item on the evening show is a song.,你最喜欢什么节目？,Nǐ zuì xǐhuān shénme jiémù?,What is your favorite program?
711,节日,jiérì,holiday; festival,名 n.,名 n.,noun,3,3,春节是中国重要的节日。,Chūnjié shì zhōngguó zhòngyào de jiérì.,The Spring Festival is an important Chinese holiday.,这个节日大家都会回家。,Zhège jiérì dàjiā dōu huì huíjiā.,Everyone goes home for this holiday.,节日期间，街上到处都是游客。,Jiérì qījiān; jiēshàng dàochù dōu shì yóukè.,During the holiday; there are tourists everywhere in the streets.
712,结束,jiéshù,termination; to finish; to end,动 v.,动 v.,verb,3,3,会议下午五点结束。,Huìyì xiàwǔ wǔdiǎn jiéshù.,The meeting ends at five in the afternoon.,比赛结束以后，大家一起吃饭。,Bǐsài jiéshù yǐhòu; dàjiā yìqǐ chīfàn.,After the match ended; everyone ate together.,我终于结束了今天的工作。,Wǒ zhōngyú jiéshù le jīntiān de gōngzuò.,I finally finished today’s work.
713,解决,jiějué,to solve; to resolve; to settle,动 v.,动 v.,verb,3,3,我可以自己解决这个问题。,Wǒ kěyǐ zìjǐ jiějué zhège wèntí.,I can solve the problem by myself.,我们有自己的问题要解决。,Wǒmen yǒu zìjǐ de wèntí yào jiějué.,We have our own problems to solve.,你能解决这个问题吗？,Nǐ néng jiějué zhège wèntí ma?,Could you solve the problem?
714,姐妹,jiěmèi,sisters; siblings; sister,名 n.,名 n.,noun,3,3,她们是姐妹，长得很像。,Tāmen shì jiěmèi; zhǎngde hěn xiàng.,They are sisters and look very much alike.,我有一个哥哥和两个姐妹。,Wǒ yǒu yígè gēgē hé liǎnggè jiěmèi.,I have one older brother and two sisters.,这对姐妹都在学习中文。,Zhè duì jiěmèi dōu zài xuéxí zhōngwén.,Both of these sisters are studying Chinese.
715,借,jiè,to lend; to borrow; by means of,动 v.,动 v.,verb,3,3,我能借一下你的词典吗？,Wǒ néng jiè yíxià nǐ de cídiǎn ma?,May I borrow your dictionary?,这本书是我从图书馆借的。,Zhè běnshū shì wǒ cóng túshūguǎn jiè de.,I borrowed this book from the library.,他借给我一辆自行车。,Tā jiègěi wǒ yíliàng zìxíngchē.,He lent me a bicycle.
716,斤,jīn,catty,量 m.w.,量 m.w.,measure word,3,3,我买了两斤西瓜。,Wǒ mǎi le liǎngjīn xīguā.,I bought two jin of watermelon.,这些苹果一斤多少钱？,Zhèxiē píngguǒ yìjīn duōshǎoqián?,How much is one jin of these apples?,这个孩子出生时有六斤重。,Zhège háizi chūshēng shí yǒu liùjīnzhòng.,This child weighed six jin at birth.
717,经过,jīngguò,to pass; to go through; process,动 v.; 名 n.,动 v.,verb; noun,3,3,这辆车每天经过学校门口。,Zhè liàng chē měitiān jīngguò xuéxiào ménkǒu.,This bus passes the school entrance every day.,经过半年的练习，他进步很大。,Jīngguò bànnián de liànxí; tā jìnbù hěndà.,After half a year of practice; he made great progress.,我们经过公园时停了一会儿。,Wǒmen jīngguò gōngyuán shí tíng le yíhuìr.,We stopped for a while as we passed the park.
718,经理,jīnglǐ,manager; director,名 n.,名 n.,noun,3,3,经理正在办公室开会。,Jīnglǐ zhèngzài bàngōngshì kāihuì.,The manager is holding a meeting in the office.,我把这个问题告诉了经理。,Wǒ bǎ zhège wèntí gàosù le jīnglǐ.,I told the manager about this problem.,经理对我们的工作很满意。,Jīnglǐ duì wǒmen de gōngzuò hěn mǎnyì.,The manager is very satisfied with our work.
719,久,jiǔ,time; duration of time,形 adj.,形 adj.,adjective,3,3,我在这里住了很久。,Wǒ zài zhèlǐ zhù le hěn jiǔ.,I have lived here for a long time.,你等了多久？,Nǐ děng le duōjiǔ?,How long did you wait?,这件事过去很久了。,Zhèjiàn shì guòqù hěn jiǔ le.,This happened a long time ago.
720,酒,jiǔ,wine; liquor; spirits,名 n.,名 n.,noun,3,3,这家饭店有中国酒。,Zhèjiā fàndiàn yǒu zhōngguó jiǔ.,This restaurant serves Chinese liquor.,他不太喜欢喝酒。,Tā bù tài xǐhuān hējiǔ.,He does not particularly like drinking alcohol.,请不要开车前喝酒。,Qǐng búyào kāichē qián hējiǔ.,Please do not drink alcohol before driving.
721,旧,jiù,old; opposite: new 新; former,形 adj.,形 adj.,adjective,3,3,我的父亲开一辆旧车。,Wǒ de fùqīn kāi yíliàng jiù chē.,My father drives a very old car.,我父亲修理了我的旧手表。,Wǒ fùqīn xiūlǐ le wǒ de jiù shǒubiǎo.,My father repaired my old watch.,我的房子又旧又难看。,Wǒ de fángzi yòu jiù yòu nánkàn.,My house is old and ugly.
722,句,jù,measure word for phrases or lines of verse,量 m.w.,量 m.w.,measure word,3,3,我想知道这句话的意思。,Wǒ xiǎng zhīdào zhè jù huà de yìsi.,I wonder what this phrase means.,老师让我重复了这句话。,Lǎoshī ràng wǒ chóngfù le zhè jù huà.,The teacher made me repeat the sentence.,他无法理解这句话。,Tā wúfǎ lǐjiě zhè jù huà.,He couldn't understand the sentence.
723,句子,jùzi,sentence,名 n.,名 n.,noun,3,3,你能翻译这个句子吗？,Nǐ néng fānyì zhège jùzi ma?,Could you translate this sentence?,这不是一个句子。,Zhè búshì yígè jùzi.,This is not a sentence.,这是一个奇怪的句子。,Zhè shì yígè qíguài de jùzi.,This is a strange sentence.
724,决定,juédìng,to decide; decision,动 v.; 名 n.,动 v.,verb; noun,3,3,经理决定下周开会讨论这个问题。,Jīnglǐ juédìng xiàzhōu kāihuì tǎolùn zhège wèntí.,The manager decided to hold a meeting next week to discuss this issue.,我们让他做最后的决定。,Wǒmen ràng tā zuò zuìhòu de juédìng.,We left the final decision to him.,我让你来决定。,Wǒ ràng nǐ lái juédìng.,I'll let you decide.
725,卡,kǎ,to block; to be stuck; to be wedged,名 n.,名 n.,noun,3,3,我可以用信用卡付款吗？,Wǒ kěyǐ yòng xìnyòngkǎ fùkuǎn ma?,Can I pay by credit card?,这张纸卡在打印机里了。,Zhè zhāng zhǐ kǎ zài dǎyìnjī lǐ le.,This sheet of paper is stuck in the printer.,这张卡不能用了。,Zhè zhāng kǎ bùnéng yòng le.,This card no longer works.
726,开花,kāihuā,to bloom,动 v.,动 v.,verb,3,3,春天到了，花园里的花开始开花。,Chūntiān dào le; huāyuánlǐ de huā kāishǐ kāihuā.,Spring has arrived; and the flowers in the garden are beginning to bloom.,这种树每年三月开花。,Zhèzhǒng shù měinián sānyuè kāihuā.,This kind of tree blooms every March.,天气变暖以后，路边的花都开花了。,Tiānqì biàn nuǎn yǐhòu; lùbiān de huādōu kāihuā le.,After the weather warmed up; all the roadside flowers bloomed.
727,开会,kāihuì,to hold a meeting; to attend a meeting,动 v.,动 v.,verb,3,3,我们下午三点开会。,Wǒmen xiàwǔ sāndiǎn kāihuì.,We will hold a meeting at three this afternoon.,经理正在办公室开会。,Jīnglǐ zhèngzài bàngōngshì kāihuì.,The manager is holding a meeting in the office.,明天开会要讨论这个问题。,Míngtiān kāihuì yào tǎolùn zhège wèntí.,We will discuss this issue at tomorrow’s meeting.
728,开机,kāijī,to turn on; to boot up,动 v.,动 v.,verb,3,3,按这个按钮就能开机。,Àn zhège ànniǔ jiù néng kāijī.,Press this button to turn the device on.,电脑开机需要一点时间。,Diànnǎo kāijī xūyào yìdiǎn shíjiān.,The computer needs a little time to start up.,请先开机，再打开软件。,Qǐng xiān kāijī; zài dǎkāi ruǎnjiàn.,Please turn the device on before opening the software.
729,开心,kāixīn,happy,形 adj.,形 adj.,adjective,3,3,如果你开心，我也就开心。,Rúguǒ nǐ kāixīn; wǒ yě jiù kāixīn.,I'm happy if you're happy.,我们真的玩得很开心。,Wǒmen zhēnde wán de hěn kāixīn.,We really enjoyed ourselves.,今天晚上我玩得很开心。,Jīntiān wǎnshàng wǒ wán de hěn kāixīn.,I had a good time this evening.
730,看来,kànlái,apparently; it seems that,动 v.,动 v.,verb,3,3,看来今天要下雨。,Kànlái jīntiān yào xiàyǔ.,It looks as though it will rain today.,看来我们得换一个办法。,Kànlái wǒmen děi huàn yígè bànfǎ.,It seems we have to use another method.,从成绩看来，他进步很大。,Cóng chéngjì kànlái; tā jìnbù hěndà.,Judging from the grades; he has made great progress.
731,可,kě,used in 可汗,连 conj.; （副 adv.）,连 conj.,conjunction; adverb,3,3（5）,这个办法可不简单。,Zhège bànfǎ kěbù jiǎndān.,This method is certainly not simple.,我想去，可今天没有时间。,Wǒ xiǎng qù; kě jīntiān méiyǒu shíjiān.,I want to go; but I do not have time today.,你可要小心一点儿。,Nǐ kě yào xiǎoxīn yìdiǎnr.,You really need to be a little careful.
732,渴,kě,thirsty,形 adj.,形 adj.,adjective,3,3,我有点儿渴，想喝水。,Wǒ yǒudiǎnr kě; xiǎng hēshuǐ.,I am a little thirsty and want some water.,运动以后大家都很渴。,Yùndòng yǐhòu dàjiā dōu hěn kě.,Everyone was thirsty after exercising.,你渴不渴？这里有矿泉水。,Nǐ kě bù kě? zhèlǐ yǒu kuàngquánshuǐ.,Are you thirsty? There is mineral water here.
733,可爱,kě’ài,adorable; cute; lovely,形 adj.,形 adj.,adjective,3,3,这是我见过最可爱的小狗。,Zhè shì wǒ jiàn guò zuì kě'ài de xiǎogǒu.,This is the cutest puppy I've ever seen.,我哥哥给了我一个可爱的娃娃。,Wǒ gēgē gěi le wǒ yígè kě'ài de wáwá.,My brother gave me a cute doll.,这只猫很可爱。,Zhè zhī māo hěn kě'ài.,The cat is adorable.
734,可是,kěshì,but; however; indeed,连 conj.,连 conj.,conjunction,3,3,我想去，可是今天没有时间。,Wǒ xiǎng qù; kěshì jīntiān méiyǒu shíjiān.,I want to go; but I do not have time today.,这件衣服很好看，可是有点儿贵。,Zhèjiàn yīfú hěn hǎokàn; kěshì yǒudiǎnr guì.,This outfit looks good; but it is a little expensive.,他很努力，可是成绩没有提高。,Tā hěn nǔlì; kěshì chéngjì méiyǒu tígāo.,He works very hard; but his grades have not improved.
735,刻,kè,quarter (hour); measure word for short periods,量 m.w.; （动 v.）,量 m.w.,measure word; verb,3,3（5）,现在三点一刻。,Xiànzài sāndiǎn yíkè.,It is a quarter past three now.,我们等了一刻钟。,Wǒmen děng le yíkèzhōng.,We waited for fifteen minutes.,他把名字刻在木头上。,Tā bǎ míngzì kè zài mùtou shàng.,He carved his name into the wood.
736,课本,kèběn,textbook,名 n.,名 n.,noun,3,3,请打开课本第十页。,Qǐng dǎkāi kèběn dìshí yè.,Please open the textbook to page ten.,我把课本忘在教室里了。,Wǒ bǎ kèběn wàng zài jiàoshì lǐ le.,I left my textbook in the classroom.,这本课本里有很多练习。,Zhèběn kèběn lǐ yǒu hěnduō liànxí.,There are many exercises in this textbook.
737,客人,kèrén,visitor; guest; customer,名 n.,名 n.,noun,3,3,今天家里来了几位客人。,Jīntiān jiālǐ lái le jǐwèi kèrén.,Several guests came to our home today.,服务员正在帮助客人点菜。,Fúwùyuán zhèngzài bāngzhù kèrén diǎncài.,The server is helping the guest order food.,请给客人倒一杯茶。,Qǐng gěi kèrén dào yìbēi chá.,Please pour the guest a cup of tea.
738,课文,kèwén,text,名 n.,名 n.,noun,3,3,老师让我们大声读课文。,Lǎoshī ràng wǒmen dàshēng dú kèwén.,The teacher asked us to read the text aloud.,这篇课文有很多生词。,Zhè piān kèwén yǒu hěnduō shēngcí.,This text contains many new words.,我已经把今天的课文复习了一遍。,Wǒ yǐjīng bǎ jīntiān de kèwén fùxí le yíbiàn.,I have already reviewed today’s text once.
739,空调,kōngtiáo,air conditioner,名 n.,名 n.,noun,3,3,夏天太热了，我需要开空调。,Xiàtiān tài rè le; wǒ xūyào kāi kōngtiáo.,It is too hot in summer; so I need to turn on the air conditioner.,这个房间有空调。,Zhège fángjiān yǒu kōngtiáo.,This room has air conditioning.,空调坏了，房间里很热。,Kōngtiáo huài le; fángjiān lǐ hěn rè.,The air conditioner is broken; so the room is very hot.
740,哭,kū,to cry; to weep,动 v.,动 v.,verb,3,3,孩子为什么在哭？,Háizi wèishénme zài kū?,Why is the child crying?,她听到这个消息后哭了。,Tā tīngdào zhège xiāoxī hòu kū le.,She cried after hearing the news.,别哭了，我们一起想办法。,Bié kū le; wǒmen yìqǐ xiǎng bànfǎ.,Do not cry; let us find a solution together.
741,筷子,kuàizi,chopsticks,名 n.,名 n.,noun,3,3,中国人吃饭常用筷子。,Zhōngguó rén chīfàn chángyòng kuàizi.,Chinese people commonly use chopsticks when eating.,这双筷子是新的。,Zhè shuāng kuàizi shì xīn de.,This pair of chopsticks is new.,他还不会用筷子。,Tā hái búhuì yòng kuàizi.,He still does not know how to use chopsticks.
742,矿泉水,kuàngquánshuǐ,mineral water; 杯,名 n.,名 n.,noun,3,3,请给我一瓶矿泉水。,Qǐng gěi wǒ yìpíng kuàngquánshuǐ.,Please give me a bottle of mineral water.,运动以后要多喝矿泉水。,Yùndòng yǐhòu yào duō hē kuàngquánshuǐ.,Drink plenty of mineral water after exercising.,宾馆房间里有免费的矿泉水。,Bīnguǎn fángjiān lǐ yǒu miǎnfèi de kuàngquánshuǐ.,There is complimentary mineral water in the hotel room.
743,来自,láizì,to come from; From:,动 v.,动 v.,verb,3,3,你知道他们来自哪里吗？,Nǐ zhīdào tāmen láizì nǎlǐ ma?,Do you know where they come from?,我知道他来自哪里。,Wǒ zhīdào tā láizì nǎlǐ.,I know where he comes from.,我们接到许多来自国外的电话。,Wǒmen jiēdào xǔduō láizì guówài de diànhuà.,We receive many telephone calls from abroad.
744,蓝,lán,blue; indigo plant,形 adj.,形 adj.,adjective,3,3,今天的天空很蓝。,Jīntiān de tiānkōng hěn lán.,The sky is very blue today.,她穿着一条蓝裙子。,Tā chuānzhe yìtiáo lán qúnzi.,She is wearing a blue skirt.,地图上的蓝线表示河流。,Dìtú shàng de lán xiàn biǎoshì héliú.,The blue line on the map represents a river.
745,老,lǎo,old; venerable; experienced,形 adj.; 前缀 pref.; （副 adv.）,形 adj.,adjective; prefix; adverb,3,3（4）,那位老人是我的老邻居。,Nàwèi lǎorén shì wǒ de lǎo línjū.,That elderly person is my longtime neighbor.,这台电脑太老了。,Zhè tái diànnǎo tài lǎo le.,This computer is too old.,他老忘记带钥匙。,Tā lǎo wàngjì dài yàoshi.,He is always forgetting to bring his keys.
746,老人,lǎorén,old person; the elderly,名 n.,名 n.,noun,3,3,那位老人每天早上去公园散步。,Nàwèi lǎorén měitiān zǎoshàng qù gōngyuán sànbù.,That elderly person takes a walk in the park every morning.,请给老人让个座位。,Qǐng gěi lǎorén ràng gè zuòwèi.,Please give the elderly person a seat.,社区为老人提供了很多服务。,Shèqū wèi lǎorén tígōng le hěnduō fúwù.,The community provides many services for elderly people.
747,离开,líkāi,to depart; to leave,动 v.,动 v.,verb,3,3,我现在在工作无法离开。,Wǒ xiànzài zài gōngzuò wúfǎ líkāi.,I can't get away from work now.,我想让你离开我的房间。,Wǒ xiǎng ràng nǐ líkāi wǒ de fángjiān.,I want you out of my room.,明天你能准备好离开吗？,Míngtiān nǐ néng zhǔnbèi hǎo líkāi ma?,Can you be ready to leave tomorrow?
748,礼物,lǐwù,gift; present,名 n.,名 n.,noun,3,3,我真喜欢你给我的礼物。,Wǒ zhēn xǐhuān nǐ gěi wǒ de lǐwù.,I really liked the gift you gave me.,这是给你的礼物。,Zhè shì gěi nǐ de lǐwù.,This is a present for you.,他接受了她的礼物。,Tā jiēshòu le tā de lǐwù.,He accepted her gift.
749,历史,lìshǐ,history,名 n.,名 n.,noun,3,3,我对中国历史很感兴趣。,Wǒ duì zhōngguó lìshǐ hěn gǎnxìngqù.,I am very interested in Chinese history.,这座城市有很长的历史。,Zhè zuò chéngshì yǒu hěn cháng de lìshǐ.,This city has a long history.,老师正在讲这所学校的历史。,Lǎoshī zhèngzài jiǎng zhè suǒ xuéxiào de lìshǐ.,The teacher is explaining the history of this school.
750,脸,liǎn,face,名 n.,名 n.,noun,3,3,她洗完脸以后刷牙。,Tā xǐwán liǎn yǐhòu shuāyá.,She brushes her teeth after washing her face.,他的脸被太阳晒红了。,Tā de liǎn bèi tàiyáng shài hóng le.,His face became red from the sun.,孩子脸上带着开心的笑。,Háizi liǎnshàng dài zhe kāixīn de xiào.,The child had a happy smile on his face.
751,练,liàn,to practice; to train; to drill,动 v.,动 v.,verb,3,3,我每天练写汉字。,Wǒ měitiān liàn xiě hànzì.,I practice writing Chinese characters every day.,她在球场练网球。,Tā zài qiúchǎng liàn wǎngqiú.,She practices tennis on the court.,这个句子要多练几遍。,Zhège jùzi yào duō liàn jǐbiàn.,This sentence needs to be practiced several times.
752,练习,liànxí,to practice; exercise; drill,动 v.; 名 n.,动 v.,verb; noun,3,3,每天练习说中文很重要。,Měitiān liànxí shuō zhōngwén hěn zhòngyào.,It is important to practice speaking Chinese every day.,课本后面有很多练习。,Kèběn hòumiàn yǒu hěnduō liànxí.,There are many exercises at the back of the textbook.,我们两个人一起练习对话。,Wǒmen liǎnggè rén yìqǐ liànxí duìhuà.,The two of us practiced the dialogue together.
753,凉快,liángkuai,nice and cold; pleasantly cool,形 adj.,形 adj.,adjective,3,3,今天晚上很凉快。,Jīntiān wǎnshàng hěn liángkuai.,It is pleasantly cool this evening.,下过雨以后，天气凉快多了。,Xiàguò yǔ yǐhòu; tiānqì liángkuai duō le.,The weather became much cooler after the rain.,我们到树下坐坐，那里比较凉快。,Wǒmen dào shù xià zuòzuò; nàlǐ bǐjiào liángkuai.,Let us sit under the tree; it is cooler there.
754,辆,liàng,measure word for vehicles,量 m.w.,量 m.w.,measure word,3,3,门口停着一辆汽车。,Ménkǒu tíng zhe yíliàng qìchē.,A car is parked by the entrance.,我们叫了一辆出租车。,Wǒmen jiào le yíliàng chūzūchē.,We called a taxi.,这辆自行车是新的。,Zhè liàng zìxíngchē shì xīn de.,This bicycle is new.
755,聊,liáo,to chat; to depend upon; temporarily,动 v.,动 v.,verb,3,3,我和她聊得很愉快。,Wǒ hé tā liáo de hěn yúkuài.,I had a nice chat with her.,我们聊了一会儿。,Wǒmen liáo le yíhuìr.,We had a chat for a while.,我们聊到凌晨两点。,Wǒmen liáo dào língchén liǎngdiǎn.,We talked until two in the morning.
756,聊天儿,liáotiānr,to chat,动 v.,动 v.,verb,3,3,我们坐在沙发上聊天儿。,Wǒmen zuòzài shāfā shàng liáotiānr.,We sat on the sofa and chatted.,她喜欢和同事一起聊天儿。,Tā xǐhuān hé tóngshì yìqǐ liáotiānr.,She likes chatting with her coworkers.,别聊天儿了，老师要开始上课了。,Bié liáotiānr le; lǎoshī yào kāishǐ shàngkè le.,Stop chatting; the teacher is about to begin class.
757,了解,liǎojiě,to understand; to realize; to find out,动 v.,动 v.,verb,3,3,我不了解你在说什么。,Wǒ bù liǎojiě nǐ zài shuō shénme.,I don't understand what you are saying.,我能了解她在说什么。,Wǒ néng liǎojiě tā zài shuō shénme.,I can understand what she is saying.,我不了解他。,Wǒ bù liǎojiě tā.,I can't figure him out.
758,邻居,línjū,neighbor; next door,名 n.,名 n.,noun,3,3,我的邻居是一对年轻的夫妻。,Wǒ de línjū shì yíduì niánqīng de fūqī.,My neighbors are a young married couple.,他是我的一个邻居。,Tā shì wǒ de yígè línjū.,He is one of my neighbors.,我认识我所有的邻居。,Wǒ rènshí wǒ suǒyǒu de línjū.,I know all my neighbors.
759,留学,liúxué,to study abroad,动 v.,动 v.,verb,3,3,我有一位朋友在国外留学。,Wǒ yǒu yíwèi péngyǒu zài guówài liúxué.,A friend of mine is studying abroad.,我父母反对我出国留学。,Wǒ fùmǔ fǎnduì wǒ chūguó liúxué.,My parents objected to my studying abroad.,我打算明年出国留学。,Wǒ dǎsuàn míngnián chūguó liúxué.,I intend to study abroad next year.
760,留学生,liúxuéshēng,international student,名 n.,名 n.,noun,3,3,我们班有五名留学生。,Wǒmen bān yǒu wǔmíng liúxuéshēng.,There are five international students in our class.,这位留学生来自法国。,Zhèwèi liúxuéshēng láizì fǎguó.,This international student is from France.,学校为留学生安排了中文课。,Xuéxiào wèi liúxuéshēng ānpái le zhōngwén kè.,The school arranged Chinese classes for international students.
761,楼梯,lóutī,stair; staircase,名 n.,名 n.,noun,3,3,电梯坏了，我们走楼梯吧。,Diàntī huài le; wǒmen zǒu lóutī ba.,The elevator is broken; so let us take the stairs.,楼梯上不要放东西。,Lóutī shàng búyào fàng dōngxī.,Do not leave things on the stairs.,他跑上楼梯，回到了教室。,Tā pǎo shàng lóutī; huídào le jiàoshì.,He ran up the stairs and returned to the classroom.
762,路边,lùbiān,curb; roadside; wayside,名 n.,名 n.,noun,3,3,路边开着很多黄色的花。,Lùbiān kāi zhe hěnduō huángsè de huā.,Many yellow flowers are blooming by the roadside.,请不要把车停在路边。,Qǐng búyào bǎ chē tíng zài lùbiān.,Please do not park the car by the roadside.,我们在路边等出租车。,Wǒmen zài lùbiān děng chūzūchē.,We waited for a taxi by the side of the road.
763,路口,lùkǒu,crossing; intersection,名 n.,名 n.,noun,3,3,到前面的路口向右转。,Dào qiánmiàn de lùkǒu xiàngyòuzhuǎn.,Turn right at the intersection ahead.,我在学校门口的路口等你。,Wǒ zài xuéxiào ménkǒu de lùkǒu děng nǐ.,I will wait for you at the intersection by the school entrance.,这个路口没有红绿灯。,Zhège lùkǒu méiyǒu hóng-lǜdēng.,There is no traffic light at this intersection.
764,马,mǎ,horse,名 n.,名 n.,noun,3,3,这匹马跑得很快。,Zhè pǐ mǎ pǎo de hěnkuài.,This horse runs very fast.,孩子第一次骑马，有点儿害怕。,Háizi dìyīcì qímǎ; yǒudiǎnr hàipà.,The child was a little afraid while riding a horse for the first time.,马正在草地上吃草。,Mǎ zhèngzài cǎodì shàng chī cǎo.,The horse is eating grass in the meadow.
765,马路,mǎlù,street; road,名 n.,名 n.,noun,3,3,过马路时要看红绿灯。,Guò mǎlù shí yào kàn hóng-lǜdēng.,Look at the traffic light when crossing the road.,学校就在马路对面。,Xuéxiào jiù zài mǎlù duìmiàn.,The school is right across the road.,这条马路早上车很多。,Zhè tiáo mǎlù zǎoshàng chē hěnduō.,There are many cars on this road in the morning.
766,马上,mǎshàng,at once; right away; immediately,副 adv.,副 adv.,adverb,3,3,他发烧了，应该马上去医院检查。,Tā fāshāo le; yīnggāi mǎshàng qù yīyuàn jiǎnchá.,He has a fever and should go to the hospital for a checkup right away.,我认为我该马上去工作。,Wǒ rènwéi wǒ gāi mǎshàng qù gōngzuò.,I think I should get right to work.,我们马上成为了朋友。,Wǒmen mǎshàng chéngwéi le péngyǒu.,We immediately became friends.
